시군구,평수,월세금(만원),건축년도
서울특별시 관악구 봉천동,25.0,70,1999
서울특별시 관악구 봉천동,18.1,160,2006
서울특별시 동작구 사당동,18.1,190,2021
서울특별시 동작구 사당동,25.7,0,2021
서울특별시 동작구 흑석동,20.0,0,1988
서울특별시 동작구 상도동,25.7,0,2018
서울특별시 동작구 대방동,18.1,0,1999
서울특별시 영등포구 여의도동,24.0,0,1971
서울특별시 동작구 상도동,25.6,0,2012
서울특별시 영등포구 당산동5가,18.1,0,1999
서울특별시 영등포구 당산동5가,25.7,50,1999
서울특별시 영등포구 문래동2가,14.3,0,1983
서울특별시 동작구 상도동,25.7,0,2024
서울특별시 영등포구 당산동3가,25.7,100,1986
서울특별시 영등포구 신길동,28.9,0,1985
서울특별시 영등포구 신길동,3.9,55,2012
서울특별시 관악구 봉천동,34.7,140,2003
서울특별시 관악구 봉천동,18.1,0,2003
서울특별시 동대문구 답십리동,5.7,60,2015
서울특별시 성북구 돈암동,34.9,0,2003
서울특별시 동대문구 제기동,18.1,0,2004
서울특별시 중랑구 면목동,18.1,150,2006
서울특별시 중랑구 면목동,25.7,0,1998
서울특별시 중랑구 면목동,34.7,90,2002
서울특별시 동대문구 답십리동,25.7,160,2014
서울특별시 동대문구 답십리동,6.9,100,2019
서울특별시 동대문구 답십리동,18.1,0,2000
서울특별시 동대문구 휘경동,4.3,25,2021
서울특별시 중랑구 묵동,31.1,0,1995
서울특별시 동대문구 용두동,18.1,130,2021
서울특별시 동대문구 용두동,25.7,0,2023
서울특별시 동대문구 용두동,25.7,140,2023
서울특별시 동대문구 휘경동,28.9,105,2019
서울특별시 성북구 삼선동3가,25.7,190,2012
서울특별시 성북구 동소문동6가,32.1,0,2004
서울특별시 동대문구 회기동,25.7,0,1989
서울특별시 동대문구 전농동,18.1,0,2014
서울특별시 동대문구 이문동,18.1,0,2000
서울특별시 중랑구 신내동,15.1,0,1996
서울특별시 성북구 돈암동,20.8,0,1991
서울특별시 성북구 돈암동,25.7,0,2006
서울특별시 중랑구 신내동,15.1,0,1996
서울특별시 동대문구 휘경동,4.3,80,2021
서울특별시 중랑구 상봉동,6.1,62,2025
서울특별시 중랑구 묵동,18.1,50,2017
서울특별시 성북구 삼선동3가,18.1,0,2012
서울특별시 성북구 보문동4가,24.9,40,2011
서울특별시 동대문구 답십리동,18.1,0,2018
서울특별시 중랑구 신내동,10.0,75,1996
서울특별시 중랑구 상봉동,6.1,62,2025
서울특별시 동대문구 용두동,25.7,0,2023
서울특별시 동대문구 용두동,25.6,195,2015
서울특별시 송파구 잠실동,18.1,320,2008
서울특별시 서초구 서초동,25.6,320,2005
서울특별시 서초구 방배동,25.7,0,2013
서울특별시 서초구 잠원동,25.7,200,2002
서울특별시 서초구 서초동,25.6,0,2000
서울특별시 서초구 서초동,12.9,160,1999
서울특별시 서초구 방배동,22.6,0,2021
서울특별시 서초구 잠원동,20.8,0,1978
서울특별시 송파구 풍납동,56.6,260,1999
서울특별시 송파구 신천동,24.9,0,1979
서울특별시 송파구 신천동,10.7,130,2008
서울특별시 송파구 잠실동,23.1,0,1978
서울특별시 송파구 잠실동,30.1,0,1986
서울특별시 송파구 잠실동,18.1,0,2008
서울특별시 송파구 잠실동,25.7,0,2008
서울특별시 노원구 하계동,25.7,150,1988
서울특별시 도봉구 방학동,25.7,130,1994
서울특별시 도봉구 방학동,18.8,0,1988
서울특별시 강북구 번동,12.5,70,1991
서울특별시 노원구 하계동,15.0,90,1989
서울특별시 도봉구 창동,25.7,20,1997
서울특별시 도봉구 창동,10.9,0,1989
서울특별시 도봉구 쌍문동,18.1,0,1996
서울특별시 노원구 하계동,18.0,0,1989
서울특별시 성북구 장위동,25.7,220,2020
서울특별시 성북구 장위동,18.0,0,2017
서울특별시 노원구 하계동,8.2,0,1988
서울특별시 성북구 길음동,18.1,0,2010
서울특별시 성북구 종암동,25.7,0,2009
서울특별시 성북구 길음동,25.7,0,2006
서울특별시 노원구 공릉동,4.9,42,2021
서울특별시 강북구 수유동,5.3,86,2021
서울특별시 노원구 공릉동,18.0,0,1995
서울특별시 송파구 가락동,25.7,160,2018
서울특별시 강동구 고덕동,15.2,0,1996
서울특별시 강동구 상일동,18.1,0,2020
서울특별시 송파구 장지동,18.1,0,2013
서울특별시 강동구 고덕동,25.7,150,2016
서울특별시 강동구 상일동,18.1,60,2011
서울특별시 강동구 암사동,33.6,0,2008
서울특별시 송파구 거여동,12.0,0,1997
서울특별시 송파구 문정동,23.5,0,1996
서울특별시 강동구 길동,6.5,40,2022
서울특별시 강동구 길동,6.5,40,2022
서울특별시 강동구 명일동,15.0,0,2019
서울특별시 강동구 길동,6.5,40,2022
서울특별시 용산구 이태원동,52.7,400,1982
서울특별시 용산구 문배동,4.1,70,2012
서울특별시 성동구 금호동4가,25.7,0,2007
서울특별시 성동구 금호동4가,25.7,0,2003
서울특별시 용산구 이촌동,52.0,0,2003
서울특별시 용산구 산천동,34.6,160,2001
서울특별시 성동구 금호동1가,34.7,0,2001
서울특별시 성동구 성수동2가,18.1,0,2000
서울특별시 성동구 송정동,25.7,0,2009
서울특별시 성동구 성수동1가,42.4,0,2017
서울특별시 광진구 광장동,49.1,370,1981
